ID,latitude,longitude,ClassID,Class,Surveyor,Notes
17,49.77430,9.966994,3,Grassland,Antonio,
18,49.77770,9.970070,3,Grassland,Antonio,Soccer field. No access to the point. Private area. Shifted mixed with grassland
29,49.77645,9.967037,5,Agriculture,Antonio,
54,49.77453,9.962320,2,Trees,Antonio,No access to the point. Private area. Shifted (Entrance of property) 
56,49.77966,9.970851,1,Built-up,Antonio,
95,49.77453,9.962320,3,Grassland,Antonio,No access to the point. Private area. Shifted (Entrance of property) 
98,49.78020,9.971279,1,Built-up,Antonio,
106,49.77624,9.960783,1,Built-up,Antonio,
112,49.77624,9.959949,2,Trees,Antonio,
118,49.77396,9.970520,3,Grassland,Antonio,No access to the point. Private area. Shifted
125,49.77457,9.966583,4,Vineyards,Antonio,
131,49.77677,9.970710,1,Built-up,Antonio,No access to the point. Private area. Shifted 
146,49.77453,9.962320,3,Grassland,Antonio,No access to the point. Private area. Shifted (Entrance of property) 
151,49.77770,9.970070,3,Grassland,Antonio,Soccer field. No access to the point. Private area. Shifted mixed with grassland
159,49.77396,9.970520,3,Grassland,Antonio,No access to the point. Private area. Shifted
164,49.77354,9.969800,3,Grassland,Antonio,No access to the point. Private area. Shifted mixed with trees
174,49.77611,9.967490,1,Built-up,Antonio,Soccer field. No access to the point. Private area. Shifted
185,49.77520,9.971690,3,Grassland,Antonio,No access to the point. Private area. Shifted
187,49.77773,9.975790,5,Agriculture,Antonio,Shifted
191,49.77377,9.962490,4,Vineyards,Antonio,Shifted
